Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,2.98364334947454E-05,1.55038827031294E-05,-0.010200312130708,0,0,0,0.491514800427233,0.00199220117509473,-1.19655263995672E-06,-3.05317721576714E-14,0.00198772980356383,3.24735841369864E-12,0.00395532460374651,0,0,0,0,0,0,package://hodor_10/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://hodor_10/meshes/base_link.STL,,omni_3_wheeled_lower_chassis-1;geared_motor-1;motor_clamp1-1;geared_motor-2;motor_clamp1-2;motor_with_mount-1/motor_clamp1-1;motor_with_mount-1/geared_motor-1,Coordinate System1,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
front_wheel,2.19962936753859E-15,-0.00949451387962603,2.0122792321331E-16,0,0,0,0.0378266477345021,2.85081163385123E-06,-2.31743346875003E-22,-1.93572531702206E-21,5.19859045981001E-06,4.67374782417283E-23,2.85081163385124E-06,0,0,0,0,0,0,package://hodor_10/meshes/front_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hodor_10/meshes/front_wheel.STL,,Assem3-3,Coordinate System2,Axis1,front_joint,continuous,0.17483,0.000181,-0.0335,0,0,-1.5708,base_link,0,-1,0,5,5,,,,,,,,,,
right_wheel,3.33066907387547E-16,-0.0095054861203738,3.35148575558719E-15,0,0,0,0.0378266477345021,2.85081163385124E-06,7.19978005166155E-21,-4.92346401724693E-21,5.19859045981002E-06,1.00289847665109E-21,2.85081163385124E-06,0,0,0,0,0,0,package://hodor_10/meshes/right_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hodor_10/meshes/right_wheel.STL,,Assem3-2,Coordinate System3,Axis2,right_joint,continuous,-0.087275,-0.15154,-0.0335,0,0,2.618,base_link,0,1,0,5,5,,,,,,,,,,
left_wheel,0.143302051635367,-0.257700948140946,8.12544476147536E-15,0,0,0,0.0378266477345021,4.6116457533203E-06,-1.01661805287376E-06,-8.17147467487926E-22,3.43775634034092E-06,-3.68269909902125E-21,2.85081163385121E-06,0,0,0,0,0,0,package://hodor_10/meshes/left_wheel.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hodor_10/meshes/left_wheel.STL,,Assem3-1,Coordinate System3,Axis3,left_joint,continuous,-0.087275,-0.15154,-0.0335,0,0,2.618,base_link,-0.86603,0.5,0,5,5,,,,,,,,,,
